timestamp,domain,issuer,tls_version,expires_on,days_left,risk_level,renewal_required
2026-01-30T08:07:08.909923,vercel.com,Let's Encrypt,TLSv1.3,2026-04-21,81,WARNING,False
2026-01-30T08:07:09.078979,netlify.com,DigiCert Inc,TLSv1.3,2026-08-21,203,SAFE,False
2026-01-30T08:07:09.785347,netflix.com,DigiCert Inc,TLSv1.3,2026-09-04,217,SAFE,False
2026-01-30T10:42:07.412344,microsoft.com,Microsoft Corporation,TLSv1.3,2026-07-13,163,SAFE,False
2026-01-30T10:42:07.516396,apple.com,Apple Inc.,TLSv1.3,2026-03-31,60,WARNING,False
2026-01-30T10:42:07.760555,sciencedirect.com,Google Trust Services,TLSv1.3,2026-04-02,62,WARNING,False
2026-01-30T10:42:07.986868,springer.com,Let's Encrypt,TLSv1.3,2026-03-27,56,WARNING,False
2026-01-30T10:42:08.608474,ieee.org,GlobalSign nv-sa,TLSv1.3,2026-05-05,95,SAFE,False
2026-01-30T10:42:08.874949,paypal.com,DigiCert Inc,TLSv1.3,2026-07-07,158,SAFE,False
2026-01-30T10:42:09.088518,visa.com,"CLOUDFLARE, INC.",TLSv1.3,2026-10-04,247,SAFE,False
2026-01-30T10:42:10.320219,mastercard.com,DigiCert Inc,TLSv1.2,2026-05-19,109,SAFE,False
2026-01-30T10:42:10.449999,hdfcbank.com,DigiCert Inc,TLSv1.3,2026-04-03,63,WARNING,False
2026-01-30T10:42:10.930506,india.gov.in,Let's Encrypt,TLSv1.3,2026-04-22,81,WARNING,False
2026-01-30T10:42:11.052233,gov.uk,GlobalSign nv-sa,TLSv1.3,2026-12-28,332,SAFE,False
2026-01-30T10:42:12.151117,usa.gov,Let's Encrypt,TLSv1.3,2026-04-20,80,WARNING,False
2026-01-30T10:42:12.433438,who.int,Google Trust Services,TLSv1.3,2026-03-07,36,CRITICAL,True
2026-01-30T10:42:13.925910,un.org,COMODO CA Limited,TLSv1.2,2026-09-05,218,SAFE,False
2026-01-30T10:42:14.019224,flipkart.com,GlobalSign nv-sa,TLSv1.3,2026-07-17,167,SAFE,False
2026-01-30T10:42:14.175041,shopify.com,Google Trust Services,TLSv1.3,2026-03-17,46,CRITICAL,True
2026-01-30T10:42:14.610513,ebay.com,Sectigo Limited,TLSv1.3,2026-07-28,179,SAFE,False
2026-01-30T10:42:35.303138,azure.microsoft.com,Microsoft Corporation,TLSv1.3,2026-07-11,162,SAFE,False
2026-01-30T10:42:35.474444,digitalocean.com,Google Trust Services,TLSv1.3,2026-04-18,77,WARNING,False
2026-01-30T10:42:35.610611,vercel.com,Let's Encrypt,TLSv1.3,2026-04-21,80,WARNING,False
2026-01-30T10:42:35.755035,netlify.com,DigiCert Inc,TLSv1.3,2026-08-21,203,SAFE,False
2026-01-30T10:42:36.398938,netflix.com,DigiCert Inc,TLSv1.3,2026-09-04,216,SAFE,False
2026-01-31T04:39:16.649795,microsoft.com,Microsoft Corporation,TLSv1.3,2026-07-13,163,SAFE,False
2026-01-31T04:39:16.776897,apple.com,Apple Inc.,TLSv1.3,2026-03-31,59,WARNING,False
2026-01-31T04:39:16.849529,sciencedirect.com,Google Trust Services,TLSv1.3,2026-04-02,61,WARNING,False
2026-01-31T04:39:17.056728,springer.com,Let's Encrypt,TLSv1.3,2026-03-27,55,WARNING,False
2026-01-31T04:39:18.918574,ieee.org,GlobalSign nv-sa,TLSv1.3,2026-05-05,94,SAFE,False
2026-01-31T04:39:19.071577,paypal.com,DigiCert Inc,TLSv1.3,2026-07-07,157,SAFE,False
2026-01-31T04:39:19.230288,visa.com,"CLOUDFLARE, INC.",TLSv1.3,2026-10-04,246,SAFE,False
2026-01-31T04:39:20.083894,mastercard.com,DigiCert Inc,TLSv1.2,2026-05-19,108,SAFE,False
2026-01-31T04:39:20.192383,hdfcbank.com,DigiCert Inc,TLSv1.3,2026-04-03,62,WARNING,False
2026-01-31T04:39:21.498227,india.gov.in,Let's Encrypt,TLSv1.3,2026-04-22,81,WARNING,False
2026-01-31T04:39:21.620620,gov.uk,GlobalSign nv-sa,TLSv1.3,2026-12-28,331,SAFE,False
2026-01-31T04:39:22.495998,usa.gov,Let's Encrypt,TLSv1.3,2026-04-20,79,WARNING,False
2026-01-31T04:39:23.014448,who.int,Google Trust Services,TLSv1.3,2026-03-07,35,CRITICAL,True
2026-01-31T04:39:24.176708,un.org,COMODO CA Limited,TLSv1.2,2026-09-05,217,SAFE,False
2026-01-31T04:39:24.295549,flipkart.com,GlobalSign nv-sa,TLSv1.3,2026-07-17,166,SAFE,False
2026-01-31T04:39:24.636075,shopify.com,Google Trust Services,TLSv1.3,2026-03-17,45,CRITICAL,True
2026-01-31T04:39:24.748704,ebay.com,Sectigo Limited,TLSv1.3,2026-07-28,178,SAFE,False
2026-01-31T04:39:24.914973,aws.amazon.com,Amazon,TLSv1.3,2026-10-17,259,SAFE,False
2026-01-31T04:39:25.049721,azure.microsoft.com,Microsoft Corporation,TLSv1.3,2026-07-11,161,SAFE,False
2026-01-31T04:39:25.172397,digitalocean.com,Google Trust Services,TLSv1.3,2026-04-18,76,WARNING,False
2026-01-31T04:39:25.341318,vercel.com,Let's Encrypt,TLSv1.3,2026-04-21,80,WARNING,False
2026-01-31T04:39:25.528912,netlify.com,DigiCert Inc,TLSv1.3,2026-08-21,202,SAFE,False
2026-01-31T04:39:26.069628,netflix.com,DigiCert Inc,TLSv1.3,2026-09-04,216,SAFE,False
2026-02-01T05:17:03.829199,microsoft.com,Microsoft Corporation,TLSv1.3,2026-07-13,162,SAFE,False
2026-02-01T05:17:03.980307,apple.com,Apple Inc.,TLSv1.3,2026-03-31,58,WARNING,False
2026-02-01T05:17:04.133349,sciencedirect.com,Google Trust Services,TLSv1.3,2026-04-02,60,WARNING,False
2026-02-01T05:17:04.273213,springer.com,Let's Encrypt,TLSv1.3,2026-03-27,54,WARNING,False
2026-02-01T05:17:05.027841,ieee.org,GlobalSign nv-sa,TLSv1.3,2026-05-05,93,SAFE,False
2026-02-01T05:17:05.342062,paypal.com,DigiCert Inc,TLSv1.3,2026-07-07,156,SAFE,False
2026-02-01T05:17:05.458067,visa.com,"CLOUDFLARE, INC.",TLSv1.3,2026-10-04,245,SAFE,False
2026-02-01T05:17:06.285855,mastercard.com,DigiCert Inc,TLSv1.2,2026-05-19,107,SAFE,False
2026-02-01T05:17:06.392066,hdfcbank.com,DigiCert Inc,TLSv1.3,2026-04-03,61,WARNING,False
2026-02-01T05:17:06.738823,india.gov.in,Let's Encrypt,TLSv1.3,2026-04-22,80,WARNING,False
2026-02-01T05:17:06.849202,gov.uk,GlobalSign nv-sa,TLSv1.3,2026-12-28,330,SAFE,False
2026-02-01T05:17:07.593962,usa.gov,Let's Encrypt,TLSv1.3,2026-04-20,78,WARNING,False
2026-02-01T05:17:08.283627,who.int,Google Trust Services,TLSv1.3,2026-03-07,34,CRITICAL,True
2026-02-01T05:17:09.221048,un.org,COMODO CA Limited,TLSv1.2,2026-09-05,216,SAFE,False
2026-02-01T05:17:09.328894,flipkart.com,GlobalSign nv-sa,TLSv1.3,2026-07-17,165,SAFE,False
2026-02-01T05:17:09.477730,shopify.com,Google Trust Services,TLSv1.3,2026-03-17,44,CRITICAL,True
2026-02-01T05:17:10.425664,ebay.com,Sectigo Limited,TLSv1.3,2026-07-28,177,SAFE,False
2026-02-01T05:17:10.531014,aws.amazon.com,Amazon,TLSv1.3,2026-10-17,258,SAFE,False
2026-02-01T05:17:10.627197,azure.microsoft.com,Microsoft Corporation,TLSv1.3,2026-07-11,160,SAFE,False
2026-02-01T05:17:10.716181,digitalocean.com,Google Trust Services,TLSv1.3,2026-04-18,75,WARNING,False
2026-02-01T05:17:10.843367,vercel.com,Let's Encrypt,TLSv1.3,2026-04-21,79,WARNING,False
2026-02-01T05:17:11.010827,netlify.com,DigiCert Inc,TLSv1.3,2026-08-21,201,SAFE,False
2026-02-01T05:17:11.574858,netflix.com,DigiCert Inc,TLSv1.3,2026-09-04,215,SAFE,False
2026-02-02T04:59:56.971363,microsoft.com,Microsoft Corporation,TLSv1.3,2026-07-13,161,SAFE,False
2026-02-02T04:59:57.075498,apple.com,Apple Inc.,TLSv1.3,2026-03-31,57,WARNING,False
2026-02-02T04:59:57.135264,sciencedirect.com,Google Trust Services,TLSv1.3,2026-04-02,59,WARNING,False
2026-02-02T04:59:57.312252,springer.com,Let's Encrypt,TLSv1.3,2026-03-27,53,WARNING,False
2026-02-02T04:59:58.136681,ieee.org,GlobalSign nv-sa,TLSv1.3,2026-05-05,92,SAFE,False
2026-02-02T04:59:58.223793,paypal.com,DigiCert Inc,TLSv1.3,2026-07-07,155,SAFE,False
2026-02-02T04:59:58.349616,visa.com,"CLOUDFLARE, INC.",TLSv1.3,2026-10-04,244,SAFE,False
2026-02-02T04:59:59.378292,mastercard.com,DigiCert Inc,TLSv1.2,2026-05-19,106,SAFE,False
2026-02-02T04:59:59.930117,hdfcbank.com,DigiCert Inc,TLSv1.3,2026-04-03,60,WARNING,False
2026-02-02T05:00:01.391991,india.gov.in,Let's Encrypt,TLSv1.3,2026-04-22,79,WARNING,False
2026-02-02T05:00:01.530400,gov.uk,GlobalSign nv-sa,TLSv1.3,2026-12-28,329,SAFE,False
2026-02-02T05:00:02.344971,usa.gov,Let's Encrypt,TLSv1.3,2026-04-20,77,WARNING,False
2026-02-02T05:00:02.638172,who.int,Google Trust Services,TLSv1.3,2026-03-07,33,CRITICAL,True
2026-02-02T05:00:03.749212,un.org,COMODO CA Limited,TLSv1.2,2026-09-05,215,SAFE,False
2026-02-02T05:00:03.869392,flipkart.com,GlobalSign nv-sa,TLSv1.3,2026-07-17,164,SAFE,False
2026-02-02T05:00:03.958820,shopify.com,Google Trust Services,TLSv1.3,2026-03-17,43,CRITICAL,True
2026-02-02T05:00:04.185431,ebay.com,Sectigo Limited,TLSv1.3,2026-07-28,176,SAFE,False
2026-02-02T05:00:05.090751,aws.amazon.com,Amazon,TLSv1.3,2026-10-17,257,SAFE,False
2026-02-02T05:00:05.180422,azure.microsoft.com,Microsoft Corporation,TLSv1.3,2026-07-11,159,SAFE,False
2026-02-02T05:00:05.275854,digitalocean.com,Google Trust Services,TLSv1.3,2026-04-18,74,WARNING,False
2026-02-02T05:00:05.430721,vercel.com,Let's Encrypt,TLSv1.3,2026-04-21,78,WARNING,False
2026-02-02T05:00:05.566059,netlify.com,DigiCert Inc,TLSv1.3,2026-08-21,200,SAFE,False
2026-02-02T05:00:06.138986,netflix.com,DigiCert Inc,TLSv1.3,2026-09-04,214,SAFE,False
2026-02-03T09:11:42.908707,microsoft.com,Microsoft Corporation,TLSv1.3,2026-07-13,159,SAFE,False
2026-02-03T09:11:43.057486,apple.com,Apple Inc.,TLSv1.3,2026-03-31,56,WARNING,False
2026-02-03T09:11:43.229097,sciencedirect.com,Google Trust Services,TLSv1.3,2026-04-02,58,WARNING,False
2026-02-03T09:11:43.407028,springer.com,Let's Encrypt,TLSv1.3,2026-03-27,52,WARNING,False
2026-02-03T09:11:44.204914,ieee.org,GlobalSign nv-sa,TLSv1.3,2026-05-05,91,SAFE,False
2026-02-03T09:11:44.331296,paypal.com,DigiCert Inc,TLSv1.3,2026-07-07,154,SAFE,False
2026-02-03T09:11:44.444159,visa.com,"CLOUDFLARE, INC.",TLSv1.3,2026-10-04,243,SAFE,False
2026-02-03T09:11:45.380643,mastercard.com,DigiCert Inc,TLSv1.2,2026-05-19,105,SAFE,False
2026-02-03T09:11:45.489059,hdfcbank.com,DigiCert Inc,TLSv1.3,2026-04-03,59,WARNING,False
2026-02-03T09:11:45.870621,india.gov.in,Let's Encrypt,TLSv1.3,2026-04-22,77,WARNING,False
2026-02-03T09:11:45.992678,gov.uk,GlobalSign nv-sa,TLSv1.3,2026-12-28,328,SAFE,False
2026-02-03T09:11:46.712613,usa.gov,Let's Encrypt,TLSv1.3,2026-04-20,76,WARNING,False
2026-02-03T09:11:46.907029,who.int,Google Trust Services,TLSv1.3,2026-03-07,32,CRITICAL,True
2026-02-03T09:11:47.873479,un.org,COMODO CA Limited,TLSv1.2,2026-09-05,214,SAFE,False
2026-02-03T09:11:47.962448,flipkart.com,GlobalSign nv-sa,TLSv1.3,2026-07-17,163,SAFE,False
2026-02-03T09:11:48.119996,shopify.com,Google Trust Services,TLSv1.3,2026-03-17,42,CRITICAL,True
2026-02-03T09:11:48.325280,ebay.com,Sectigo Limited,TLSv1.3,2026-07-28,175,SAFE,False
2026-02-03T09:11:48.472787,aws.amazon.com,Amazon,TLSv1.3,2026-10-17,256,SAFE,False
2026-02-03T09:11:48.574510,azure.microsoft.com,Microsoft Corporation,TLSv1.3,2026-07-11,158,SAFE,False
2026-02-03T09:11:48.683547,digitalocean.com,Google Trust Services,TLSv1.3,2026-04-18,73,WARNING,False
2026-02-03T09:11:48.812402,vercel.com,Let's Encrypt,TLSv1.3,2026-04-21,76,WARNING,False
2026-02-03T09:11:48.954802,netlify.com,DigiCert Inc,TLSv1.3,2026-08-21,199,SAFE,False
2026-02-03T09:11:49.398795,netflix.com,DigiCert Inc,TLSv1.3,2026-09-04,213,SAFE,False
2026-02-03T16:19:07.325102,microsoft.com,Microsoft Corporation,TLSv1.3,2026-07-13,159,SAFE,False
2026-02-03T16:19:07.457160,apple.com,Apple Inc.,TLSv1.3,2026-03-31,56,WARNING,False
2026-02-03T16:19:07.621291,sciencedirect.com,Google Trust Services,TLSv1.3,2026-04-02,57,WARNING,False
2026-02-03T16:19:08.600774,springer.com,Let's Encrypt,TLSv1.3,2026-03-27,52,WARNING,False
2026-02-03T16:19:09.352249,ieee.org,GlobalSign nv-sa,TLSv1.3,2026-05-05,90,WARNING,False
2026-02-03T16:19:09.444722,paypal.com,DigiCert Inc,TLSv1.3,2026-07-07,154,SAFE,False
2026-02-03T16:19:09.564703,visa.com,"CLOUDFLARE, INC.",TLSv1.3,2026-10-04,243,SAFE,False
2026-02-03T16:19:10.940759,mastercard.com,DigiCert Inc,TLSv1.2,2026-05-19,105,SAFE,False
2026-02-03T16:19:11.038534,hdfcbank.com,DigiCert Inc,TLSv1.3,2026-04-03,59,WARNING,False
2026-02-03T16:19:11.579801,india.gov.in,Let's Encrypt,TLSv1.3,2026-04-22,77,WARNING,False
2026-02-03T16:19:11.716768,gov.uk,GlobalSign nv-sa,TLSv1.3,2026-12-28,328,SAFE,False
2026-02-03T16:19:13.950299,usa.gov,Let's Encrypt,TLSv1.3,2026-04-20,75,WARNING,False
2026-02-03T16:19:14.200680,who.int,Google Trust Services,TLSv1.3,2026-03-07,31,CRITICAL,True
2026-02-03T16:19:15.803036,un.org,COMODO CA Limited,TLSv1.2,2026-09-05,214,SAFE,False
2026-02-03T16:19:15.904955,flipkart.com,GlobalSign nv-sa,TLSv1.3,2026-07-17,163,SAFE,False
2026-02-03T16:19:17.071264,shopify.com,Google Trust Services,TLSv1.3,2026-03-17,42,CRITICAL,True
2026-02-03T16:19:17.316902,ebay.com,Sectigo Limited,TLSv1.3,2026-07-28,175,SAFE,False
2026-02-03T16:19:17.440002,aws.amazon.com,Amazon,TLSv1.3,2026-10-17,256,SAFE,False
2026-02-03T16:19:17.536875,azure.microsoft.com,Microsoft Corporation,TLSv1.3,2026-07-11,158,SAFE,False
2026-02-03T16:19:17.884747,digitalocean.com,Google Trust Services,TLSv1.3,2026-04-18,73,WARNING,False
2026-02-03T16:19:18.032788,vercel.com,Let's Encrypt,TLSv1.3,2026-04-21,76,WARNING,False
2026-02-03T16:19:18.223345,netlify.com,DigiCert Inc,TLSv1.3,2026-08-21,199,SAFE,False
2026-02-03T16:19:21.671644,netflix.com,DigiCert Inc,TLSv1.3,2026-09-04,212,SAFE,False
2026-02-04T04:38:12.122756,microsoft.com,Microsoft Corporation,TLSv1.3,2026-08-03,179,SAFE,False
2026-02-04T04:38:12.217849,apple.com,Apple Inc.,TLSv1.3,2026-03-31,55,WARNING,False
2026-02-04T04:38:12.380924,sciencedirect.com,Google Trust Services,TLSv1.3,2026-04-02,57,WARNING,False
2026-02-04T04:38:12.509277,springer.com,Let's Encrypt,TLSv1.3,2026-03-27,51,WARNING,False
2026-02-04T04:38:13.293481,ieee.org,GlobalSign nv-sa,TLSv1.3,2026-05-05,90,WARNING,False
2026-02-04T04:38:13.379048,paypal.com,DigiCert Inc,TLSv1.3,2026-07-07,153,SAFE,False
2026-02-04T04:38:13.501321,visa.com,"CLOUDFLARE, INC.",TLSv1.3,2026-10-04,242,SAFE,False
2026-02-04T04:38:14.506421,mastercard.com,DigiCert Inc,TLSv1.2,2026-05-19,104,SAFE,False
2026-02-04T04:38:14.600383,hdfcbank.com,DigiCert Inc,TLSv1.3,2026-04-03,58,WARNING,False
2026-02-04T04:38:15.055426,india.gov.in,Let's Encrypt,TLSv1.3,2026-04-22,77,WARNING,False
2026-02-04T04:38:15.147058,gov.uk,GlobalSign nv-sa,TLSv1.3,2026-12-28,327,SAFE,False
2026-02-04T04:38:16.072654,usa.gov,Let's Encrypt,TLSv1.3,2026-04-20,75,WARNING,False
2026-02-04T04:38:17.073981,who.int,Google Trust Services,TLSv1.3,2026-03-07,31,CRITICAL,True
2026-02-04T04:38:17.985134,un.org,COMODO CA Limited,TLSv1.2,2026-09-05,213,SAFE,False
2026-02-04T04:38:18.037816,flipkart.com,GlobalSign nv-sa,TLSv1.3,2026-07-17,162,SAFE,False
2026-02-04T04:38:18.203861,shopify.com,Google Trust Services,TLSv1.3,2026-03-17,41,CRITICAL,True
2026-02-04T04:38:18.393797,ebay.com,Sectigo Limited,TLSv1.3,2026-07-28,174,SAFE,False
2026-02-04T04:38:18.439332,aws.amazon.com,Amazon,TLSv1.3,2026-10-17,255,SAFE,False
2026-02-04T04:38:18.527712,azure.microsoft.com,Microsoft Corporation,TLSv1.3,2026-07-11,157,SAFE,False
2026-02-04T04:38:18.618142,digitalocean.com,Google Trust Services,TLSv1.3,2026-04-18,72,WARNING,False
2026-02-04T04:38:18.705419,vercel.com,Let's Encrypt,TLSv1.3,2026-04-21,76,WARNING,False
2026-02-04T04:38:18.822730,netlify.com,DigiCert Inc,TLSv1.3,2026-08-21,198,SAFE,False
2026-02-04T04:38:19.263587,netflix.com,DigiCert Inc,TLSv1.3,2026-09-04,212,SAFE,False
2026-02-04T14:04:51.626452,microsoft.com,Microsoft Corporation,TLSv1.3,2026-08-03,179,SAFE,False
2026-02-04T14:04:51.748539,apple.com,Apple Inc.,TLSv1.3,2026-03-31,55,WARNING,False
2026-02-04T14:04:51.872305,sciencedirect.com,Google Trust Services,TLSv1.3,2026-04-02,56,WARNING,False
2026-02-04T14:04:52.106550,springer.com,Let's Encrypt,TLSv1.3,2026-03-27,51,WARNING,False
2026-02-04T14:04:52.979019,ieee.org,GlobalSign nv-sa,TLSv1.3,2026-05-05,90,WARNING,False
2026-02-04T14:04:53.078546,paypal.com,DigiCert Inc,TLSv1.3,2026-07-07,153,SAFE,False
2026-02-04T14:04:53.231073,visa.com,"CLOUDFLARE, INC.",TLSv1.3,2026-10-04,242,SAFE,False
2026-02-04T14:04:55.125194,mastercard.com,DigiCert Inc,TLSv1.2,2026-05-19,104,SAFE,False
2026-02-04T14:04:55.268126,hdfcbank.com,DigiCert Inc,TLSv1.3,2026-04-03,58,WARNING,False
2026-02-04T14:04:55.749262,india.gov.in,Let's Encrypt,TLSv1.3,2026-04-22,76,WARNING,False
2026-02-04T14:04:55.879400,gov.uk,GlobalSign nv-sa,TLSv1.3,2026-12-28,327,SAFE,False
2026-02-04T14:04:56.719143,usa.gov,Let's Encrypt,TLSv1.3,2026-04-20,74,WARNING,False
2026-02-04T14:04:56.935082,who.int,Google Trust Services,TLSv1.3,2026-05-05,89,WARNING,False
2026-02-04T14:04:58.054216,un.org,COMODO CA Limited,TLSv1.2,2026-09-05,213,SAFE,False
2026-02-04T14:04:58.162455,flipkart.com,GlobalSign nv-sa,TLSv1.3,2026-07-17,162,SAFE,False
2026-02-04T14:04:58.306791,shopify.com,Google Trust Services,TLSv1.3,2026-03-17,41,CRITICAL,True
2026-02-04T14:04:58.578765,ebay.com,Sectigo Limited,TLSv1.3,2026-07-28,174,SAFE,False
2026-02-04T14:04:58.780439,aws.amazon.com,Amazon,TLSv1.3,2026-10-17,255,SAFE,False
2026-02-04T14:04:58.915270,azure.microsoft.com,Microsoft Corporation,TLSv1.3,2026-07-11,157,SAFE,False
2026-02-04T14:04:59.049362,digitalocean.com,Google Trust Services,TLSv1.3,2026-04-18,72,WARNING,False
2026-02-04T14:04:59.178043,vercel.com,Let's Encrypt,TLSv1.3,2026-04-21,75,WARNING,False
2026-02-04T14:04:59.330081,netlify.com,DigiCert Inc,TLSv1.3,2026-08-21,198,SAFE,False
2026-02-04T14:04:59.866173,netflix.com,DigiCert Inc,TLSv1.3,2026-09-04,211,SAFE,False
2026-02-06T08:24:02.926307,apple.com,Apple Inc.,TLSv1.3,2026-03-31,53,WARNING,False
2026-02-06T08:24:03.062277,sciencedirect.com,Google Trust Services,TLSv1.3,2026-04-02,55,WARNING,False
2026-02-06T08:24:03.179816,springer.com,Let's Encrypt,TLSv1.3,2026-03-27,49,WARNING,False
2026-02-06T08:24:03.909137,ieee.org,GlobalSign nv-sa,TLSv1.3,2026-05-05,88,WARNING,False
2026-02-06T08:24:03.994238,paypal.com,DigiCert Inc,TLSv1.3,2026-07-07,151,SAFE,False
2026-02-06T08:24:04.062135,visa.com,"CLOUDFLARE, INC.",TLSv1.3,2026-10-04,240,SAFE,False
2026-02-06T08:24:04.879689,mastercard.com,DigiCert Inc,TLSv1.2,2026-05-19,102,SAFE,False
2026-02-06T08:24:04.949398,hdfcbank.com,DigiCert Inc,TLSv1.3,2026-04-03,56,WARNING,False
2026-02-06T08:24:05.326553,india.gov.in,Let's Encrypt,TLSv1.3,2026-04-22,75,WARNING,False
2026-02-06T08:24:05.412418,gov.uk,GlobalSign nv-sa,TLSv1.3,2026-12-28,325,SAFE,False
2026-02-06T08:24:06.124280,usa.gov,Let's Encrypt,TLSv1.3,2026-04-20,73,WARNING,False
2026-02-06T08:24:06.420102,who.int,Google Trust Services,TLSv1.3,2026-05-05,88,WARNING,False
2026-02-06T08:24:07.457879,un.org,COMODO CA Limited,TLSv1.2,2026-09-05,211,SAFE,False
2026-02-06T08:24:07.554247,flipkart.com,GlobalSign nv-sa,TLSv1.3,2026-07-17,160,SAFE,False
2026-02-06T08:24:07.674383,shopify.com,Google Trust Services,TLSv1.3,2026-03-17,39,CRITICAL,True
2026-02-06T08:24:07.851576,ebay.com,Sectigo Limited,TLSv1.3,2026-07-28,172,SAFE,False
2026-02-06T08:24:08.784463,aws.amazon.com,Amazon,TLSv1.3,2026-10-17,253,SAFE,False
2026-02-06T08:24:08.905942,azure.microsoft.com,Microsoft Corporation,TLSv1.3,2026-07-11,155,SAFE,False
2026-02-06T08:24:09.019046,digitalocean.com,Google Trust Services,TLSv1.3,2026-04-18,70,WARNING,False
2026-02-06T08:24:09.270021,vercel.com,Let's Encrypt,TLSv1.3,2026-04-21,74,WARNING,False
2026-02-06T08:24:09.430646,netlify.com,DigiCert Inc,TLSv1.3,2026-08-21,196,SAFE,False
2026-02-06T08:24:09.882175,netflix.com,DigiCert Inc,TLSv1.3,2026-09-04,210,SAFE,False
2026-02-07T16:09:25.952382,microsoft.com,Microsoft Corporation,TLSv1.3,2026-08-03,176,SAFE,False
2026-02-07T16:09:31.671652,sciencedirect.com,Google Trust Services,TLSv1.3,2026-04-02,53,WARNING,False
2026-02-07T16:09:31.914829,springer.com,Let's Encrypt,TLSv1.3,2026-03-27,48,WARNING,False
2026-02-07T16:09:32.806044,ieee.org,GlobalSign nv-sa,TLSv1.3,2026-05-05,86,WARNING,False
2026-02-07T16:09:37.926017,paypal.com,DigiCert Inc,TLSv1.3,2026-07-07,150,SAFE,False
2026-02-07T16:09:38.092101,visa.com,"CLOUDFLARE, INC.",TLSv1.3,2026-10-04,239,SAFE,False
2026-02-07T16:09:39.119483,mastercard.com,DigiCert Inc,TLSv1.2,2026-05-19,101,SAFE,False
2026-02-07T16:09:39.492182,hdfcbank.com,DigiCert Inc,TLSv1.3,2026-04-03,55,WARNING,False
2026-02-07T16:09:40.367386,india.gov.in,Let's Encrypt,TLSv1.3,2026-04-22,73,WARNING,False
2026-02-07T16:09:40.893019,gov.uk,GlobalSign nv-sa,TLSv1.3,2026-12-28,324,SAFE,False
2026-02-07T16:09:47.645224,who.int,Google Trust Services,TLSv1.3,2026-05-05,86,WARNING,False
2026-02-07T16:09:48.721928,un.org,COMODO CA Limited,TLSv1.2,2026-09-05,210,SAFE,False
2026-02-07T16:09:48.877211,flipkart.com,GlobalSign nv-sa,TLSv1.3,2026-07-17,159,SAFE,False
2026-02-07T16:09:49.043986,shopify.com,Google Trust Services,TLSv1.3,2026-03-17,38,CRITICAL,True
2026-02-07T16:09:49.489508,ebay.com,Sectigo Limited,TLSv1.3,2026-07-28,171,SAFE,False
2026-02-07T16:09:49.746611,aws.amazon.com,Amazon,TLSv1.3,2026-10-17,252,SAFE,False
2026-02-07T16:09:53.956308,azure.microsoft.com,Microsoft Corporation,TLSv1.3,2026-07-11,154,SAFE,False
2026-02-07T16:09:54.138822,digitalocean.com,Google Trust Services,TLSv1.3,2026-04-18,69,WARNING,False
2026-02-07T16:09:54.294870,vercel.com,Let's Encrypt,TLSv1.3,2026-04-21,72,WARNING,False
2026-02-07T16:09:59.474878,netlify.com,DigiCert Inc,TLSv1.3,2026-08-21,195,SAFE,False
2026-02-07T16:10:05.627372,netflix.com,DigiCert Inc,TLSv1.3,2026-09-04,208,SAFE,False
